date,rain
11/11/2014,0
12/11/2014,0
13/11/2014,0
14/11/2014,0
15/11/2014,0
16/11/2014,0
17/11/2014,0
18/11/2014,0
19/11/2014,0
20/11/2014,0
21/11/2014,0
22/11/2014,0
23/11/2014,0
24/11/2014,0
25/11/2014,0
26/11/2014,0
27/11/2014,0
28/11/2014,0
29/11/2014,0
30/11/2014,0
1/12/2014,0
2/12/2014,0
3/12/2014,0
4/12/2014,0
5/12/2014,0
6/12/2014,0
7/12/2014,0
8/12/2014,0
9/12/2014,0
10/12/2014,0
11/12/2014,0
12/12/2014,0
13/12/2014,0
14/12/2014,0
15/12/2014,0
16/12/2014,0
17/12/2014,0
18/12/2014,0
19/12/2014,0
20/12/2014,0
21/12/2014,0
22/12/2014,0
23/12/2014,0
24/12/2014,0
25/12/2014,0
26/12/2014,0
27/12/2014,0
28/12/2014,0
29/12/2014,0
30/12/2014,0
31/12/2014,0
1/1/2015,0
2/1/2015,0
3/1/2015,0
4/1/2015,0
5/1/2015,0
6/1/2015,0
7/1/2015,0
8/1/2015,0
9/1/2015,0
10/1/2015,0
11/1/2015,0
12/1/2015,0
13/01/2015,0
14/01/2015,0
15/01/2015,0
16/01/2015,0
17/01/2015,0
18/01/2015,0
19/01/2015,0
20/01/2015,0
21/01/2015,0
22/01/2015,0
23/01/2015,0
24/01/2015,0
25/01/2015,0
26/01/2015,0
27/01/2015,0
28/01/2015,0
29/01/2015,0
30/01/2015,0
31/01/2015,0
1/2/2015,0
2/2/2015,0
3/2/2015,0
4/2/2015,0
5/2/2015,0
6/2/2015,0
7/2/2015,0
8/2/2015,0
9/2/2015,0
10/2/2015,0
11/2/2015,0
12/2/2015,0
13/02/2015,0
14/02/2015,0
15/02/2015,0
16/02/2015,0
17/02/2015,0
18/02/2015,0
19/02/2015,0
20/02/2015,0
21/02/2015,0
22/02/2015,0
23/02/2015,0
24/02/2015,0
25/02/2015,0
26/02/2015,0
27/02/2015,0
28/02/2015,0
1/3/2015,0
2/3/2015,0
3/3/2015,0
4/3/2015,0
5/3/2015,0
6/3/2015,0
7/3/2015,0
8/3/2015,0
9/3/2015,0
10/3/2015,0
11/3/2015,0
12/3/2015,0
13/03/2015,0
14/03/2015,0
15/03/2015,0
16/03/2015,0
17/03/2015,0
18/03/2015,0
19/03/2015,0
20/03/2015,0
21/03/2015,0
22/03/2015,0
23/03/2015,0
24/03/2015,0
25/03/2015,0
26/03/2015,32.7
27/03/2015,0
28/03/2015,0
29/03/2015,0
30/03/2015,0
31/03/2015,0
1/4/2015,0
2/4/2015,0
3/4/2015,0
4/4/2015,0
5/4/2015,0
6/4/2015,0
7/4/2015,0
8/4/2015,0
9/4/2015,0
10/4/2015,0
11/4/2015,0
12/4/2015,0
13/04/2015,0
14/04/2015,0
15/04/2015,0
16/04/2015,0
17/04/2015,0
18/04/2015,0
19/04/2015,0
20/04/2015,0
21/04/2015,0
22/04/2015,0
23/04/2015,0
24/04/2015,0
25/04/2015,0
26/04/2015,0
27/04/2015,0
28/04/2015,0
29/04/2015,0
30/04/2015,0
1/5/2015,0
2/5/2015,0
3/5/2015,0
4/5/2015,0
5/5/2015,0
6/5/2015,0
7/5/2015,0
8/5/2015,0
9/5/2015,0
10/5/2015,6.2
11/5/2015,0
12/5/2015,0
13/05/2015,0
14/05/2015,1.1
15/05/2015,0
16/05/2015,12.4
17/05/2015,0
18/05/2015,0
19/05/2015,14.7
20/05/2015,0
21/05/2015,0.5
22/05/2015,25.8
23/05/2015,0
24/05/2015,0
25/05/2015,0
26/05/2015,0
27/05/2015,19.4
28/05/2015,0
29/05/2015,8.5
30/05/2015,0.4
31/05/2015,0.3
1/6/2015,0
2/6/2015,7.4
3/6/2015,0
4/6/2015,29.2
5/6/2015,0
6/6/2015,8.6
7/6/2015,0
8/6/2015,0
9/6/2015,0
10/6/2015,3.8
11/6/2015,0
12/6/2015,0
13/06/2015,0
14/06/2015,0
15/06/2015,0
16/06/2015,0
17/06/2015,0
18/06/2015,0
19/06/2015,19.6
20/06/2015,0
21/06/2015,0
22/06/2015,0
23/06/2015,0
24/06/2015,5.5
25/06/2015,33.5
26/06/2015,5
27/06/2015,0
28/06/2015,0
29/06/2015,0
30/06/2015,0
1/7/2015,0.7
2/7/2015,0
3/7/2015,18.2
4/7/2015,0
5/7/2015,0
6/7/2015,0
7/7/2015,0
8/7/2015,0
9/7/2015,39
10/7/2015,0
11/7/2015,0
12/7/2015,0
13/07/2015,0
14/07/2015,24.9
15/07/2015,0
16/07/2015,18
17/07/2015,0
18/07/2015,27.3
19/07/2015,52.6
20/07/2015,0
21/07/2015,0
22/07/2015,0
23/07/2015,41.7
24/07/2015,2.9
25/07/2015,0
26/07/2015,23.6
27/07/2015,14.2
28/07/2015,0
29/07/2015,0
30/07/2015,0
31/07/2015,0
1/8/2015,6.3
2/8/2015,76.4
3/8/2015,45.3
4/8/2015,0
5/8/2015,32.5
6/8/2015,4
7/8/2015,0
8/8/2015,28.9
9/8/2015,1.1
10/8/2015,0
11/8/2015,37.5
12/8/2015,2.9
13/08/2015,28.1
14/08/2015,16.8
15/08/2015,0
16/08/2015,44.2
17/08/2015,0
18/08/2015,12.2
19/08/2015,81.4
20/08/2015,0
21/08/2015,0.9
22/08/2015,0
23/08/2015,30.7
24/08/2015,0
25/08/2015,0
26/08/2015,2.3
27/08/2015,0
28/08/2015,10.3
29/08/2015,0
30/08/2015,78.4
31/08/2015,3.8
1/9/2015,5.5
2/9/2015,0
3/9/2015,75.2
4/9/2015,6.7
5/9/2015,0
6/9/2015,0
7/9/2015,27.6
8/9/2015,0
9/9/2015,0
10/9/2015,0
11/9/2015,6
12/9/2015,0
13/09/2015,0.2
14/09/2015,4.6
15/09/2015,5.6
16/09/2015,25.6
17/09/2015,35.9
18/09/2015,4.4
19/09/2015,8.3
20/09/2015,103.6
21/09/2015,0
22/09/2015,0
23/09/2015,12.9
24/09/2015,19.9
25/09/2015,8.7
26/09/2015,1.6
27/09/2015,0
28/09/2015,7.1
29/09/2015,0
30/09/2015,0
1/10/2015,0
2/10/2015,0
3/10/2015,12.6
4/10/2015,0
5/10/2015,0
6/10/2015,38.5
7/10/2015,14.3
8/10/2015,0
9/10/2015,0
10/10/2015,7.2
11/10/2015,1
12/10/2015,0
13/10/2015,0
14/10/2015,0
15/10/2015,7
16/10/2015,0
17/10/2015,0
18/10/2015,0
19/10/2015,0
20/10/2015,9
21/10/2015,0
22/10/2015,0
23/10/2015,0
24/10/2015,0
25/10/2015,0
26/10/2015,0
27/10/2015,0
28/10/2015,0
29/10/2015,0
30/10/2015,0
31/10/2015,0
1/11/2015,0
2/11/2015,0
3/11/2015,0
4/11/2015,0
5/11/2015,0
6/11/2015,0
7/11/2015,0
8/11/2015,0
9/11/2015,0
10/11/2015,0
11/11/2015,0
12/11/2015,0
13/11/2015,0
14/11/2015,0
15/11/2015,0
16/11/2015,0
17/11/2015,0
18/11/2015,0
19/11/2015,0
20/11/2015,0
21/11/2015,0
22/11/2015,0
23/11/2015,0
24/11/2015,0
25/11/2015,0
26/11/2015,0
27/11/2015,0
28/11/2015,0
29/11/2015,0
30/11/2015,0
1/12/2015,0
2/12/2015,0
3/12/2015,0
4/12/2015,0
5/12/2015,0
6/12/2015,0
7/12/2015,0
8/12/2015,0
9/12/2015,0
10/12/2015,0
11/12/2015,0
12/12/2015,0
13/12/2015,0
14/12/2015,0
15/12/2015,0
16/12/2015,0
17/12/2015,0
18/12/2015,0
19/12/2015,0
20/12/2015,0
21/12/2015,0
22/12/2015,0
23/12/2015,0
24/12/2015,0
25/12/2015,0
26/12/2015,0
27/12/2015,0
28/12/2015,0
29/12/2015,0
30/12/2015,0
31/12/2015,0
1/1/2016,0
2/1/2016,0
3/1/2016,0
4/1/2016,0
5/1/2016,0
6/1/2016,0
7/1/2016,0
8/1/2016,0
9/1/2016,0
10/1/2016,0
11/1/2016,0
12/1/2016,0
13/01/2016,0
14/01/2016,0
15/01/2016,0
16/01/2016,0
